"ID" "S6_DE.02.17982" "S6_DE.03.21762" "S6_DE.08.4808" "S6_GR.10824" "S6_GR.3810" "S6_GR.5549.D" "S6_GR.6296.D" "S6_GR.7150" "S6_GR.9320" "S6_M140" "S6_M141" "S6_M156"
"NM_001290300" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001290307" 7 230 0 0 0 0 24 0 18 3 33 273
"NR_003222" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001278268" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_003220" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001278266" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001278267" 0 2 0 1 0 0 1 0 2 0 0 2
"NM_001278264" 0 3 0 0 0 0 0 0 0 0 0 1
"NM_001278265" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001278262" 0 2 0 0 0 0 0 0 0 0 0 0
"NM_001278263" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001278260" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001278261" 0 2 0 0 0 0 0 0 0 0 0 0
"MSTRG.15240.1" 0 0 0 0 0 0 0 0 29 0 0 0
"MSTRG.3917.1" 0 0 0 3 0 4 4 0 29 0 0 4
"MSTRG.16466.5" 4 3 0 0 0 2 2 0 33 1 4 3
"MSTRG.3188.1" 0 5 0 0 0 0 3 0 15 0 0 2
"NM_001469" 44 1863 0 9 0 12 9 0 49 3 113 1972
"NM_001466" 6 7 3 0 0 0 0 1 0 0 11 14
"NM_001467" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001464" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001465" 0 0 0 0 0 0 8 0 0 0 0 0
"NM_001462" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001463" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001460" 0 0 0 0 0 0 13 0 23 0 0 7
"NM_001461" 0 0 1 1 0 0 0 0 7 0 0 6
"NM_007103" 21 300 0 0 0 0 0 0 0 0 30 298
"NM_001164245" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001164246" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_007100" 0 184 0 0 0 0 0 0 0 0 0 254
"NM_007107" 0 3685 0 0 0 0 39 0 66 0 0 3975
"NM_007106" 8 236 0 28 0 24 52 18 41 20 15 342
"NM_007105" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.3488.1" 0 4 0 0 0 0 0 0 10 0 0 6
"NM_000339" 0 0 0 0 0 0 1 0 5 3 0 3
"NM_000338" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_007109" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_007108" 0 281 0 0 0 0 0 0 10 0 61 347
"NM_001012969" 0 0 0 0 0 0 0 0 0 0 0 10
"NM_001012968" 23 144 2 11 0 15 45 0 46 9 61 150
"MSTRG.13284.1" 0 0 0 0 0 0 0 0 74 0 0 5
"NM_001012967" 0 5 0 0 0 0 0 0 4 0 0 20
"MSTRG.19841.1" 0 4 0 0 0 0 2 0 17 1 0 1
"NM_172209_2" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.5781.1" 0 1 0 0 0 0 3 0 19 0 0 9
"NM_003824" 26 143 0 11 0 0 6 0 4 0 48 142
"NM_003825" 4 287 0 3 0 0 24 0 67 3 21 391
"NM_003826" 0 549 0 0 0 0 10 0 31 0 17 637
"NM_003827" 16 22 0 6 0 3 0 0 0 0 41 31
"NM_003820" 0 73 0 0 0 0 3 0 9 0 11 133
"NM_003821" 5 85 0 0 0 4 4 0 7 0 27 132
"NM_003822" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_003823" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001134336" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_003828" 1 0 0 0 0 0 0 0 0 0 0 0
"NR_110773" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001256296" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_046834" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_046837" 0 2 0 0 0 0 0 0 46 0 0 0
"NR_046836" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001025780" 17 207 0 2 0 0 0 0 0 12 39 190
"NR_046832" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_046839" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001304461" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_024034" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_018301" 0 0 0 0 0 2 6 0 10 0 0 54
"NM_024036" 0 15 0 0 0 0 0 0 0 0 3 29
"NM_024037" 4 0 0 0 0 0 0 0 0 0 16 0
"NM_001164796" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_024031" 0 0 0 0 0 0 0 0 3 0 6 0
"NM_024032" 3 15 0 3 0 0 0 0 0 0 9 17
"NM_024033" 0 0 0 0 0 0 0 0 0 0 0 111
"NM_001008783" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_024038" 54 251 5 64 0 38 16 0 16 24 126 381
"NM_024039" 0 0 0 0 0 0 0 0 52 0 0 0
"MSTRG.16084.1" 0 0 0 0 0 0 0 0 12 0 0 2
"NR_130465" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_015550" 4 8 0 0 0 0 0 0 0 0 5 0
"MSTRG.8897.1" 0 0 0 0 0 0 3 0 14 1 0 1
"NR_001284_1" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_038433" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_021246_3" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.16703.1" 0 5 0 0 0 0 0 0 0 0 0 15
"NM_018304" 22 312 0 0 0 0 0 0 0 0 59 144
"NM_001297658" 12 59 2 9 0 10 0 0 8 3 24 0
"NM_001297659" 0 0 0 0 0 0 5 0 0 0 0 94
"NM_001297654" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001297655" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001297656" 0 0 0 0 0 0 0 0 0 0 20 0
"NM_001297657" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001297650" 0 11 0 0 0 0 0 0 0 0 0 0
"NM_001297651" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001297652" 1 1 0 1 0 1 1 0 1 1 1 2
"NM_001297653" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.18599.1" 0 0 0 0 0 0 0 0 10 0 0 2
"NM_002226" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.154.1" 0 35102 0 0 0 0 0 0 0 0 0 0
"MSTRG.154.2" 10 88 0 0 0 0 1 1 1 0 10 7
"NM_021246_2" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.9311.2" 0 20 0 0 0 0 0 0 0 0 0 0
"NM_001170700" 0 13 0 0 0 0 0 0 0 0 1 12
"MSTRG.20108.2" 0 0 0 0 0 0 0 0 0 0 0 177
"MSTRG.11400.1" 0 0 0 0 0 0 2 0 11 0 0 1
"NM_001011724" 8 106 2 3 0 7 4 2 13 1 30 174
"NM_001011725" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_006270" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_006271" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001011720" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_006277" 24 417 10 19 0 38 58 24 67 15 74 351
"NM_001011722" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_006275" 0 281 0 0 0 0 0 0 51 0 0 739
"NM_001002030" 25 149 0 0 0 0 12 0 19 0 51 171
"NM_001002031" 19 0 0 0 0 2 11 0 10 0 0 215
"NM_001172623" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_006279" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_034067" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001172624" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_034065" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001172626" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_033196" 0 27 0 0 0 0 0 0 0 0 0 0
"NM_001012339" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001300818" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_003221" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.2381.1" 6 20 0 4 0 0 0 0 0 0 13 21
"MSTRG.22695.1" 0 7 0 0 0 0 19 0 127 1 0 42
"NM_002469" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_032969" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_031652" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_031651" 0 0 0 0 0 0 0 0 0 0 2 0
"NM_001291556" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_031657" 0 0 0 0 0 1 0 0 0 0 0 0
"NR_031656" 0 0 0 0 0 1 0 0 2 0 0 0
"NR_031655" 0 2 0 0 0 0 0 0 0 0 0 1
"NR_031654" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_032961" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_032960" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_032963" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001199654" 0 33 0 5 0 3 5 0 6 0 0 0
"NM_001199653" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001290309" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_032966" 2 0 8 53 0 29 27 14 49 266 0 15
"NR_030527" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.10069.1" 0 2 0 1 0 0 5 0 26 0 0 8
"NR_030528" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_003176" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_003177" 7 113 0 0 0 0 0 83 0 0 21 328
"NM_003174" 0 0 0 0 0 0 0 0 2 0 0 0
"NM_003175" 0 4 0 0 0 0 0 0 0 0 0 0
"NM_003172" 0 48 0 0 0 0 0 0 0 0 0 130
"NM_003173" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001128848" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_003171" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001128846" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001128847" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001128844" 25 57 0 8 0 0 0 0 0 0 62 94
"NM_001128845" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001128843" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_003178" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_003179" 0 5 0 0 0 0 0 0 2 0 0 0
"MSTRG.4153.1" 0 0 0 0 0 0 3 0 16 0 0 3
"NM_002889" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_002888" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001098398" 109 868 5 38 0 40 41 11 44 13 214 705
"NM_001257360" 12 13 0 0 0 3 4 0 3 0 16 0
"NM_001257361" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_002887" 19 675 0 0 0 0 0 0 0 0 35 741
"NM_002886" 7 231 1 11 0 11 26 0 29 11 14 277
"NM_002881" 4 133 0 4 0 0 9 0 28 0 11 182
"NM_002880" 18 190 1 11 0 12 23 0 21 4 32 250
"NM_002883" 13 9 1 2 0 4 1 0 2 0 0 0
"NM_002882" 0 612 0 0 0 9 0 0 0 0 5 1
"NM_001010860" 0 4 0 0 0 2 0 0 0 0 0 4
"NM_021246_6" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001282736" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.2002.1" 0 1 0 0 0 0 0 0 10 0 0 2
"NM_001184834" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001282731" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.17892.1" 0 0 0 0 0 0 3 0 41 0 0 16
"NM_001287242" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001081559" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001184831" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001206932_3" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001081552" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001081550" 102 421 5 18 0 11 42 25 62 9 174 388
"NM_001081551" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.19364.1" 0 1 0 0 0 0 0 17 14 0 0 1
"MSTRG.20828.2" 0 6 0 0 0 0 0 0 1 0 2 8
"NM_001005226_4" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.5482.14" 52 16 0 0 0 0 17 0 66 0 39 65
"MSTRG.18904.1" 0 9 0 0 0 0 1 0 0 0 0 3
"NM_002193" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.5482.10" 0 12 0 0 0 0 0 0 0 0 0 0
"MSTRG.5482.11" 84 5 0 0 0 0 11 0 3 0 134 20
"MSTRG.5482.12" 86 12 0 0 0 0 18 0 16 0 132 26
"MSTRG.5482.13" 72 12 0 0 0 0 22 0 29 0 154 30
"NM_001003789" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001303115" 101 0 6 43 0 32 0 4 31 14 228 0
"NM_001010897" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001263" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001010891" 0 0 0 0 0 0 0 0 0 0 0 18
"NM_001010890" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001010893" 0 7 0 0 0 0 0 0 0 0 0 2
"NM_013235" 4 23 0 0 0 4 0 0 3 4 7 19
"NM_001005226_1" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003785" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_013236" 22 313 2 2 2 1 15 0 23 0 53 370
"NM_001003787" 0 2 0 0 0 0 0 0 2 0 0 6
"NM_001003786" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001178108" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.15409.1" 0 0 0 0 0 0 2 0 10 0 0 2
"NM_013237" 0 0 0 0 0 0 4 0 0 0 0 235
"MSTRG.9391.1" 0 0 0 0 0 0 1 0 20 0 0 7
"NM_014008" 0 26 0 0 0 0 0 0 0 0 8 6
"NM_014009" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.18321.1" 4 48 0 2 0 1 0 0 0 0 6 39
"NM_014007" 14 237 3 15 0 22 67 0 46 6 36 410
"NM_014004" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_014005" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_014002" 11 53 0 1 0 2 6 0 4 4 12 66
"NM_014003" 0 222 0 0 0 0 0 0 8 0 5 204
"NM_014000" 11 55 0 0 0 3 4 0 15 0 4 58
"NM_014001" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_015351" 2 25 0 3 0 7 17 0 0 0 8 63
"NM_015350" 6 68 2 19 0 28 75 0 23 6 12 193
"NM_015353" 0 42 0 3 0 0 16 0 11 3 2 78
"NM_015352" 8 210 0 4 0 3 17 0 15 0 22 287
"NM_015355" 30 533 0 8 0 8 53 0 100 0 67 640
"NM_013232" 3 32 0 3 0 0 16 0 7 0 10 212
"NR_027349" 1 7 0 1 0 0 2 0 12 0 1 0
"NM_015359" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_015358" 7 223 9 23 0 23 120 0 278 10 24 633
"NM_005252" 0 0 0 0 0 7 0 0 101 0 0 558
"NM_013233" 0 10 0 0 0 0 0 0 0 0 3 3
"NM_001278531" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_000333" 10 101 0 13 0 15 68 0 118 7 15 184
"NM_001178109" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_027341" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_002229" 93 168 67 199 3 222 51 82 554 502 238 293
"NM_002228" 14 28 107 311 9 259 170 561 2431 1219 21 414
"NM_000332" 27 382 16 29 3 47 150 0 192 38 68 521
"NR_109869" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.4160.1" 0 0 0 0 0 0 4 0 25 0 0 7
"NM_007003" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_002221" 5 93 2 12 0 17 38 0 48 35 14 116
"NM_001166135" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_002223" 23 1419 0 3 0 5 64 0 35 0 49 2257
"NM_002222" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_002225" 5 71 0 2 0 0 3 0 17 0 10 138
"NM_001166131" 6 31 0 0 0 0 0 0 0 0 17 35
"NM_002227" 33 802 0 20 0 0 122 0 119 5 86 991
"MSTRG.10001.1" 0 0 0 0 0 0 1 0 8 0 0 0
"MSTRG.22706.1" 0 0 0 0 0 0 4 0 29 0 0 4
"NM_001004060" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_131339" 0 0 0 0 0 0 0 0 0 0 0 1
"NR_131338" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001004065" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001276392" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001004067" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.15757.1" 0 6 0 0 0 0 0 0 9 0 0 1
"NM_001303119" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_007104" 0 3740 1 6 0 5 185 0 231 2 25 4771
"NR_131337" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_120610" 0 2 0 0 0 0 0 0 0 0 0 0
"NM_001080142_2" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001285450" 0 12 0 0 0 0 1 0 0 2 0 8
"NR_039768" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001163560" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001163561" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_007005" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001079900_1" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_018055" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_018054" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001255988" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_018056" 10 12 3 3 0 4 0 0 4 1 21 11
"NM_018051" 5 26 0 0 0 0 0 0 0 0 0 59
"NM_018050" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_018053" 0 9 0 0 0 0 0 0 3 0 4 7
"NM_018052" 9 25 3 12 0 8 0 0 9 4 24 41
"NR_033242" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001255983" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001255980" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001255981" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001255986" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001255987" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001255984" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001255985" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001242690" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_110480" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_029379" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_029378" 38 16 9 41 0 43 1 0 94 12 77 78
"NR_039762" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_029375" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_029374" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_029377" 4 40 1 1 0 2 0 0 5 0 10 43
"NR_029376" 0 8 0 0 0 0 0 0 14 0 0 0
"NM_001199237_3" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_029373" 0 0 0 0 0 0 0 0 0 0 0 3
"MSTRG.8067.1" 0 2 0 0 0 0 0 0 14 0 0 3
"NM_001122633" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001165924" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.14965.3" 0 6 0 0 0 1 2 0 3 0 0 51
"NM_001256187" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001256186" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001256185" 0 92 0 0 0 3 11 42 16 0 5 164
"NR_120545" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001256183" 0 7 0 0 0 0 0 0 2 0 0 9
"NM_001256182" 50 98 15 41 0 45 51 0 85 30 79 173
"NR_120540" 0 0 0 0 0 0 0 0 0 0 0 6
"MSTRG.18421.1" 0 0 0 0 0 0 0 0 9 0 0 0
"MSTRG.4954.1" 175 342 5 40 0 37 48 34 49 10 344 538
"NM_001122630" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_120548" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001256188" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001142352" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001142353" 0 73 0 5 0 0 15 0 27 3 2 71
"NM_001142350" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001142351" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001142356" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001142354" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.3366.2" 0 0 0 0 0 0 0 0 0 0 0 158
"NM_057093" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_203303" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_057095" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.6996.1" 0 18 0 0 0 0 0 0 0 0 6 0
"NM_014911" 24 65 0 0 0 3 8 0 3 0 58 69
"NM_014912" 0 26 0 4 0 0 16 0 30 1 5 32
"NM_014913" 25 280 2 17 0 19 17 0 65 1 67 294
"NM_014914" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_014915" 5 107 0 4 0 0 4 0 0 0 11 155
"NM_014916" 22 170 5 26 0 16 45 0 39 3 33 174
"NM_014917" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_014918" 21 343 0 0 0 2 9 0 9 6 38 362
"MSTRG.11101.1" 2 86 0 0 0 2 3 0 6 2 10 112
"NM_001005332" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001005333" 35 5 0 0 0 7 0 0 14 4 68 21
"NM_001005336" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001005337" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_106788_1" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001005335" 0 0 0 0 0 0 0 0 0 0 0 40
"NM_176801" 0 16 0 0 0 0 0 0 0 15 0 37
"NM_001005338" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001005339" 0 123 0 0 0 0 8 0 10 0 25 153
"NM_176805" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_038410" 0 0 0 0 0 0 0 0 7 0 0 0
"NM_176806" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001167911" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.7303.1" 0 9 0 0 0 0 0 0 18 0 0 6
"NR_033440" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001002814" 15 102 24 155 0 180 174 0 455 156 30 323
"NM_001032409" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001002812" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001002810" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001002811" 6 40 3 8 0 6 20 0 16 17 21 121
"NM_001171624" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001206974" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001206972" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001171622" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001171623" 17 70 0 10 0 0 0 0 3 0 57 155
"NR_030593" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001167915" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.19770.1" 0 10 0 0 0 0 0 0 0 0 0 3
"NM_001206979" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001206978" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001288649" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001288648" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.6607.1" 0 0 0 0 0 1 0 0 16 0 0 0
"NM_182932" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001143883_2" 1 3 0 0 0 0 0 0 0 0 2 2
"NM_001288643" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001288642" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001288640" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001288647" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001288646" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001288645" 0 13 0 0 0 1 6 0 10 2 0 19
"NM_001288644" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.6716.1" 0 19 0 1 0 0 1 0 2 0 2 11
"MSTRG.7080.1" 0 13 0 1 0 1 0 0 2 0 0 4
"MSTRG.5748.1" 0 27 0 0 0 0 6 0 39 0 0 35
"NM_001042365_1" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001149" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001148" 6 108 0 3 0 3 6 0 3 1 17 28
"MSTRG.5538.2" 0 0 0 0 0 0 0 0 0 0 0 41
"MSTRG.5538.3" 0 5 0 0 0 0 2 0 0 1 2 7
"NM_001286555" 13 232 3 8 0 2 33 0 37 0 38 209
"NM_001286554" 6 59 0 0 0 0 6 0 21 0 7 39
"NM_001286556" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_004313" 0 0 0 0 0 0 0 0 0 0 0 0
